,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
642,AVD,AVJ,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
643,AVE,AIM,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
644,AVE,AIZ,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
645,AVE,ALM,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
646,AVE,AVA,0.0,0.0,0.0,3.0,0.0,1,3.0,1.5,0,1,not specific
647,AVE,CEP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
648,AVE,OLL,0.0,0.0,1.0,0.0,0.0,1,1.0,0.2,1,0,not specific
649,AVE,PVP,0.0,0.0,0.0,3.0,0.0,1,3.0,1.0,0,1,not specific
650,AVE,RIF,0.0,0.0,0.0,4.0,0.0,1,4.0,2.0,0,1,not specific
651,AVE,RIM,0.0,0.0,1.0,1.0,0.0,2,2.0,2.0,1,1,not specific
652,AVE,RMG,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
653,AVE,URX,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
654,AVF,ADA,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
655,AVF,AIA,0.0,1.0,1.0,0.0,0.0,2,2.0,1.0,2,0,not specific
656,AVF,AIM,1.0,1.0,2.0,0.0,5.0,4,9.0,9.0,3,1,not specific
657,AVF,AQR,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
658,AVF,ASH,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
659,AVF,ASJ,0.0,2.0,0.0,7.0,0.0,2,9.0,9.0,1,1,not specific
660,AVF,ASK,0.0,1.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific
661,AVF,AVA,0.0,2.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific
