,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
1496,1896,SMB,RIV,0.0,0.0,1.0,0.0,0.0,1,1.0,,1,0,not specific,1.0,SMB (pp) RIV,>10
1497,1897,SMB,RMD,3.0,5.0,6.0,1.0,0.0,4,15.0,,3,1,not specific,15.0,SMB (pp) RMD,>10
1498,1898,SMB,RME,19.0,18.0,58.0,0.0,0.0,3,95.0,95.0,3,0,cel_specific,95.0,SMB (pp) RME,>10
1499,1899,SMB,RMG,0.0,0.0,3.0,0.0,0.0,1,3.0,0.6,1,0,not specific,3.0,SMB (pp) RMG,1-3
1500,1901,SMB,SAA,26.0,31.0,47.0,18.0,1.0,5,123.0,41.0,3,2,core,123.0,SMB (pp) SAA,>10
1501,1902,SMB,SIA,0.0,1.0,7.0,2.0,0.0,3,10.0,3.333333333333333,2,1,not specific,10.0,SMB (pp) SIA,>3-10
1502,1903,SMB,SIB,0.0,2.0,0.0,0.0,0.0,1,2.0,1.0,1,0,not specific,2.0,SMB (pp) SIB,1-3
1503,1904,SMB,SMB,0.0,0.0,9.0,0.0,0.0,1,9.0,9.0,1,0,not specific,9.0,SMB (pp) SMB,>3-10
1504,1905,SMB,SMD,0.0,0.0,3.0,0.0,0.0,1,3.0,0.6,1,0,not specific,3.0,SMB (pp) SMD,1-3
1505,1906,SMD,AIB,0.0,0.0,1.0,0.0,0.0,1,1.0,0.2,1,0,not specific,1.0,SMD (pp) AIB,1-3
1506,1907,SMD,AIZ,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0,SMD (pp) AIZ,1-3
1507,1908,SMD,ALN,0.0,0.0,5.0,8.0,0.0,2,13.0,13.0,1,1,not specific,13.0,SMD (pp) ALN,>10
1508,1909,SMD,ASG,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,SMD (pp) ASG,1-3
1509,1910,SMD,ASJ,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,SMD (pp) ASJ,1-3
1510,1911,SMD,AVA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0,SMD (pp) AVA,1-3
1511,1912,SMD,AVE,0.0,0.0,4.0,0.0,0.0,1,4.0,1.0,1,0,not specific,4.0,SMD (pp) AVE,1-3
1512,1913,SMD,CEP,6.0,2.0,2.0,54.0,21.0,5,85.0,28.33333333333333,3,2,core,85.0,SMD (pp) CEP,>10
1513,1914,SMD,IL1,0.0,0.0,0.0,18.0,6.0,2,24.0,4.8,0,2,pristi_specific,24.0,SMD (pp) IL1,>3-10
1514,1915,SMD,IL2,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,SMD (pp) IL2,1-3
1515,1916,SMD,OLL,0.0,1.0,0.0,2.0,0.0,2,3.0,1.0,1,1,not specific,3.0,SMD (pp) OLL,1-3
1516,1918,SMD,PVR,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,SMD (pp) PVR,1-3
1517,1919,SMD,RIA,55.0,59.0,121.0,83.0,53.0,5,371.0,185.5,3,2,core,371.0,SMD (pp) RIA,>10
1518,1920,SMD,RIB,0.0,0.0,2.0,5.0,0.0,2,7.0,1.75,1,1,not specific,7.0,SMD (pp) RIB,1-3
